index,Country,Family,Freedom,Generosity,Happiness Rank,Happiness Score,Year,country_code,fertility_rate_15_19,fertility_rate_20_24,fertility_rate_25_29,fertility_rate_30_34,fertility_rate_35_39,fertility_rate_40_44,fertility_rate_45_49,total_fertility_rate,gross_reproduction_rate,sex_ratio_at_birth,fertility_rate_avg
0,Switzerland,1.34951,0.66557,0.29678,1,7.587,2015,SZ,3.1,31.1,80.6,113,67.1,13.6,0.8,1.5463,0.751,1.059,38.1166666666667
1,Iceland,1.40223,0.62877,0.4363,2,7.561,2015,IC,10.9,75.7,139.9,113.8,45,13.4,6.1,2.02,0.9875,1.0456,44.15
2,Denmark,1.36058,0.64938,0.34139,3,7.527,2015,DA,3.4,34.4,110.6,123.8,57.5,11,0.6,1.7138,0.8349,1.0526,38.45
3,Norway,1.33095,0.66973,0.34699,4,7.522,2015,NO,6,52.1,118.2,125,59.4,10.4,0.6,1.8586,0.9045,1.0549,42.25
4,Canada,1.32261,0.63297,0.45811,5,7.427,2015,CA,13.7,53.1,101.7,101.2,41.6,7.1,0.3,1.5941,0.7752,1.0563,36.1666666666667
5,Finland,1.31826,0.64169,0.23351,6,7.406,2015,FI,7.3,50.9,105.7,114.6,58.5,13.1,0.6,1.7502,0.8554,1.046,40.8333333333333
6,Netherlands,1.28017,0.61576,0.4761,7,7.378,2015,NL,3.9,33.7,103.9,137.6,65.9,10.7,0.4,1.7806,0.8682,1.051,42.0333333333333
7,Sweden,1.28907,0.6598,0.36262,8,7.364,2015,SW,3.5,41.5,103.5,133.9,76,16.8,1.2,1.883,0.9152,1.0575,45.4833333333333
8,New Zealand,1.31967,0.63938,0.47501,9,7.286,2015,NZ,27.8,70.8,107.6,124.7,63.5,12.3,0.6,2.0383,0.9953,1.048,49.95
9,Australia,1.30923,0.65124,0.43562,10,7.284,2015,AS,16.5,52.9,96.6,116.9,59,11.3,0.5,1.7687,0.8607,1.055,42.85
10,Israel,1.22393,0.41319,0.33172,11,7.278,2015,IS,14.9,104.1,167.6,148.8,78.7,20.1,1.8,2.68,1.3073,1.05,61.4
11,Costa Rica,1.23788,0.63376,0.25497,12,7.226,2015,CS,56.2,102.6,103.1,72.3,33.4,9.8,1,1.9028,0.9282,1.05,45.8833333333333
12,Austria,1.29704,0.62433,0.33088,13,7.2,2015,AU,8.7,45.2,89.4,92.4,47,8.7,0.5,1.4583,0.7103,1.053,33.75
13,Mexico,0.91451,0.48181,0.14074,14,7.187,2015,MX,55.7,122.6,121.9,91.2,46.1,14.5,2.2,2.2711,1.1079,1.05,55.3833333333333
14,United States,1.24711,0.54604,0.40105,15,7.119,2015,US,32.26,83.65,106.14,93.05,47.47,10.36,0.68,1.86834015159393,-9,-9,44.5783333333333
15,Brazil,1.23287,0.49049,0.14574,16,6.983,2015,BR,25.8,78,114.9,87,34.8,11.6,1.8,1.77,0.8634,1.05,39.8333333333333
16,Luxembourg,1.21963,0.61583,0.28034,17,6.946,2015,LU,5.3,33.7,88.5,112.9,67,14.3,0.7,1.6114,0.7829,1.0581,38.9833333333333
17,Ireland,1.36948,0.61777,0.45901,18,6.94,2015,EI,17.6,51.8,86.1,129.9,94.4,17.6,1,1.9919,0.9684,1.057,52.05
18,Belgium,1.28566,0.5845,0.2225,19,6.937,2015,BE,9,54.6,124.2,113.4,47.4,8.6,0.4,1.7838,0.8706,1.049,38.9
19,United Arab Emirates,1.12575,0.64157,0.26428,20,6.901,2015,AE,20.9,77.3,86.3,75.1,54.6,29.1,11.7,1.7754,0.8619,1.0599,44.7833333333333
20,United Kingdom,1.28548,0.59625,0.51912,21,6.867,2015,UK,24.7,70.7,102.9,111.6,56.9,10.8,0.6,1.8914,0.9218,1.0519,45.8833333333333
21,Oman,1.08182,0.63274,0.21542,22,6.853,2015,MU,37.2,115.5,159,134,73.8,34.5,16.9,2.8552,1.3928,1.05,68.65
22,Venezuela,1.25596,0.42908,0.05841,23,6.81,2015,VE,85.7,120.8,112.4,87.9,47.6,16.8,2.9,2.37,1.1561,1.05,60.2833333333333
23,Singapore,1.02,0.54252,0.31105,24,6.798,2015,SN,3.4,11.4,39.3,65.6,36.1,5.8,0.3,0.8093,0.3904,1.0729,20.4333333333333
24,Panama,1.1985,0.5421,0.24434,25,6.786,2015,PM,76.5,129.9,115.9,88.3,44.1,13,2.3,2.35,1.1492,1.0449,59.0166666666667
25,Germany,1.29937,0.61477,0.28214,26,6.75,2015,GM,7.9,43.6,85.3,94.6,46.9,8.7,0.4,1.4354,0.6986,1.0547,33.6833333333333
26,Chile,1.12447,0.44132,0.33363,27,6.67,2015,CI,34.1,75.5,105.9,90.3,43.9,12.9,1.3,1.82,0.891,1.0425,43
27,Qatar,1.0786,0.6404,0.32573,28,6.611,2015,QA,12.4,82.8,104.5,90.5,61.4,25.9,4.2,1.9084,0.9428,1.0241,46.2
28,France,1.26038,0.55011,0.12332,29,6.575,2015,FR,9.4,60.6,134.4,132.4,63,14.8,1,2.078,1.0148,1.0478,46.8666666666667
29,Argentina,1.24823,0.44974,0.11451,30,6.574,2015,AR,66.4,109.6,107.1,96.3,59.5,17.9,1.4,2.3,1.1133,1.066,58.5166666666667
31,Uruguay,1.2089,0.60362,0.2324,32,6.485,2015,UY,19.5,72,120.2,96.7,40.3,13.4,1.9,1.82,0.8937,1.0365,40.6333333333333
32,Colombia,1.24018,0.53466,0.18401,33,6.477,2015,CO,49.4,97,117,86.6,41.9,14,2,2.04,0.9903,1.06,48.4833333333333
33,Thailand,1.26504,0.55664,0.5763,34,6.455,2015,TH,52.2,108.5,75.7,36.2,18.4,6.3,4.5,1.5084,0.7345,1.0535,37.6833333333333
34,Saudi Arabia,1.08393,0.31048,0.13706,35,6.411,2015,SA,2.8,36.8,104.1,110,98.8,57.5,33.4,2.2171,1.0815,1.05,56.55
35,Spain,1.31379,0.45951,0.18227,36,6.329,2015,SP,13.4,40.9,72.2,100.2,58.5,11.5,0.8,1.4881,0.7206,1.065,37.55
36,Malta,1.30203,0.60365,0.51752,37,6.302,2015,MT,11,36.4,85.9,102.9,45.1,8.7,0.3,1.4531,0.7113,1.043,34.0666666666667
37,Taiwan,1.07617,0.3974,0.25376,38,6.298,2015,TW,5,28.7,68.6,81,34.9,5,0,1.1158,0.5392,1.0693,25.7666666666667
